date,illiq,turn,RF,log_Mkt-RF,excess_log_return,ind_0,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17,ind_18,ind_19,ind_20,ind_21,ind_22,ind_23,ind_24,ind_25,ind_26,ind_27,ind_28,ind_29,ind_30,ind_31,ind_32,ind_33,ind_34,ind_35,ind_36,ind_37,ind_38,ind_39,ind_40,ind_41,ind_42,ind_43,ind_44,ind_45,ind_46,ind_47,ind_48,ind_49,ind_50,ind_51,ind_52,ind_53,ind_54,ind_55,ind_56,ind_57,ind_58,ind_59,ind_60,ind_61,ind_62,ind_63,ind_64,ind_65,ind_66,ind_67,ind_70,ind_71,ind_72,ind_73,ind_74,ind_75,ind_76,ind_78,ind_79,ind_80,ind_81,ind_82,ind_83,ind_85,ind_86,ind_87,ind_89,ind_90,ind_91,ind_92,ind_93,ind_94,ind_95,ind_96,ind_97,ind_99,ind_Z,baspread,beta,idiovol,log_Mkt-RF^2,coskew,size,rev1,rev2,rev3,rev4,mom,mom1m,chmom,max,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,log_Mkt-RF_lag4,r_sq,gammaps,aeavol,bm,cash,rd_mve,cashdebt,cashpr,chatoia,chinv,depr,ep,gma,lev,lgr,quick,pchquick,sp,acc,stdacc,stdcf,cfp,agr,chcapx,oa,ol,noa,grnoa,pctacc,chatq,cfpq,chcshoq,ibq_adj,chtx,invest,chinvest,currat,dy,egr,operprof,pchcurrat,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,saleinv,pchsaleinv,rd_sale,roaq,roavol,roeq,rsup,salecash,salerec,chsaleq,tang,O-score,sue,chfeps,sfe,chnanalyst,disp
2009-12-31,0.0001011290335108413,4.0069,0.01,0.027125986253591527,-0.04887161328401809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7388888888887226,,,0.0007358191302300365,,,,,,,,,,,0.0004762999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-29,8.528319479441586e-05,7.977500000000001,0.0,-0.03417745180158651,0.1419162544710514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7388888888887226,,,0.001168098211649769,,15.524250671472236,-0.048771613284018085,,,,,,,,-0.0029922,0.027125986253591527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-26,5.759767918642538e-05,14.946110492111421,0.0,0.03343477608623742,0.13529688189827552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,,,0.0011178842519368336,,15.666167668439815,0.1419162544710514,-0.048771613284018085,,,,,,,0.0119023333333333,-0.03417745180158651,0.027125986253591527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.910000000000001,-0.3277797899311844,-7.0,1.0
2010-03-31,1.6572663421468653e-05,7.31158391489532,0.01,0.061183228416898446,0.06704258021236158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,,,0.0037433874395143693,,15.80164524035259,0.13529688189827552,0.1419162544710514,-0.048771613284018085,,,0.29558410329767043,,,0.0103475555555555,0.03343477608623742,-0.03417745180158651,0.027125986253591527,,,,0.11829218227669935,1.520914210813296,0.1636856124779482,,0.06718873782872373,-1.215227718580486,,,0.02488375876625879,0.5754487553341449,-0.004874302629891168,9.347774119238762,,,,0.1348906056018935,0.018399409619667795,,,0.37546664273375374,,,50203.2,3146.099999999996,47057.1,,5.789236589044712e-06,,0.37546664273375374,,,,,,,0.01653088898181594,,,,,,,,,2.16689450568628,,,,,,,0.07582002666422415,0.021367643937612216,,0.6861821366637181,,0.0001339852995240285,-6.920000000000001,-0.2919232162260051,-7.0,1.0
2010-04-30,4.026359514606254e-05,14.566063569319976,0.01,0.019800661706336174,0.041134308598116696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.216666666666693,,,0.0003920662040087678,,15.868788108106452,0.06714258021236158,0.13529688189827552,0.1419162544710514,-0.048771613284018085,,0.38559002517980523,,,-0.0211896666666666,0.061183228416898446,0.03343477608623742,-0.03417745180158651,0.027125986253591527,,,1.0820285652781703,1.0942222825712395,0.172502820333962,,0.006280851579298023,-1.2739346140021566,0.017364645499091464,0.017653998846031294,0.014821160848147354,0.017719939166383848,0.021623995659699795,6.355504466471698,-0.04060223484679726,,,0.22495725812095702,0.0003358565634123027,,,0.015217847828625087,-0.032794094863990986,,48044.9,8162.399999999997,39882.50000000001,-0.1524658340611723,2.4318048179878557e-06,-0.032794094863990944,0.015217847828625087,9.998200323879658e-06,-1.7340292037417293,,,,,0.0,0.015214285714285625,,,-0.404384161276947,-1.8736239799640888,-1.6280959352831164,1.43993223566595,,1.280820566769676,-0.40891420260257405,,0.0023005508994804187,,0.01644047619047619,,0.17504692679420106,0.055054341511513616,1.353288590604027,0.6851168109127548,,0.00010906551985102296,7.510000000000001,-0.014117043121149898,-4.0,1.0535714285714284
2010-05-31,4.200280730680827e-05,24.745090570824626,0.01,-0.0821781110356069,-0.09864351407619568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9555555555559407,,,0.006753241933380537,,15.910030694090146,0.0412343085981167,0.06714258021236158,0.13529688189827552,0.1419162544710514,,0.14513025663255813,,,,0.019800661706336174,0.061183228416898446,0.03343477608623742,-0.03417745180158651,,,1.0820285652781703,1.0942222825712395,0.172502820333962,,0.006280851579298023,-1.2739346140021566,0.017364645499091464,0.017653998846031294,0.014821160848147354,0.017719939166383848,0.021623995659699795,6.355504466471698,-0.04060223484679726,,,0.22495725812095702,0.0003358565634123027,,,0.015217847828625087,-0.032794094863990986,,48044.9,8162.399999999997,39882.50000000001,-0.1524658340611723,2.4318048179878557e-06,-0.032794094863990944,0.015217847828625087,9.998200323879658e-06,-1.7340292037417293,,,,,0.0,0.015214285714285625,,,-0.404384161276947,-1.8736239799640888,-1.6280959352831164,1.43993223566595,,1.280820566769676,-0.40891420260257405,,0.0023005508994804187,,0.01644047619047619,,0.17504692679420106,0.055054341511513616,1.353288590604027,0.6851168109127548,,0.00010906551985102296,0.65,0.002953337271116362,2.0,1.0
2010-06-30,6.803919454805325e-05,23.232769609926063,0.01,-0.057305473770779186,-0.08309205479666022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4777777777779704,,,0.003283917324093461,,15.811493695636829,-0.09854351407619567,0.0412343085981167,0.06714258021236158,0.13529688189827552,,-0.0731586800623776,,,-0.0045085555555555,-0.0821781110356069,0.019800661706336174,0.061183228416898446,0.03343477608623742,,,1.0820285652781703,1.0942222825712395,0.172502820333962,,0.006280851579298023,-1.2739346140021566,0.017364645499091464,0.017653998846031294,0.014821160848147354,0.017719939166383848,0.021623995659699795,6.355504466471698,-0.04060223484679726,,,0.22495725812095702,0.0003358565634123027,,,0.015217847828625087,-0.032794094863990986,,48044.9,8162.399999999997,39882.50000000001,-0.1524658340611723,2.4318048179878557e-06,-0.032794094863990944,0.015217847828625087,9.998200323879658e-06,-1.7340292037417293,,,,,0.0,0.015214285714285625,,,-0.404384161276947,-1.8736239799640888,-1.6280959352831164,1.43993223566595,,1.280820566769676,-0.40891420260257405,,0.0023005508994804187,,0.01644047619047619,,0.17504692679420106,0.055054341511513616,1.353288590604027,0.6851168109127548,,0.00010906551985102296,0.78,0.006792675723567632,3.0,1.0833333333333333
2010-07-30,0.00010422649448067184,12.414979079079579,0.01,0.06699774353249405,0.07113435616138825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7388888888892476,,,0.004488697638445848,,15.728502003225135,-0.08299205479666022,-0.09854351407619567,0.0412343085981167,0.06714258021236158,,-0.06906690411335094,,,0.0113549999999999,-0.057305473770779186,-0.0821781110356069,0.019800661706336174,0.061183228416898446,,,0.15176444224282326,1.2730835206352278,0.19422835999184218,,0.007285628169367089,-1.242818381084528,0.0005007575095417067,-0.014500116539929492,0.015202833060374028,0.023581629089195696,0.022570506657343472,6.825679680877645,-0.0655865459354148,,,0.2626129263235195,-0.000331410424496693,,,0.026265716953006585,-0.05414524504611562,-0.801250644662197,44250.4,8006.400000000004,36244.0,-0.09123048956309177,-2.0724809236238694e-06,-0.05414524504611564,0.026265716953006585,0.0010947919895218927,0.012242376593474482,,,,,0.0,0.012265766082694363,,,0.025751843336507818,0.07171644595942173,0.5974360418080962,0.11929717078327573,,3.1103386840404537,1.4283953308814814,,0.002754023819980882,,0.018750439738267784,,0.1669447986199655,0.06238132939107527,0.01568560346794423,0.6851974077149433,,7.078913047413341e-05,0.8500000000000001,0.008860011813349083,0.0,0.6451612903225807
2010-08-31,9.29653402221405e-05,7.075330227861892,0.01,-0.048870164369429314,0.008661305778673663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7388888888887226,,,0.0023882929654950383,,15.799736895829422,0.07123435616138825,-0.08299205479666022,-0.09854351407619567,0.0412343085981167,,-0.10153990693279398,,,-0.0064911111111111,0.06699774353249405,-0.057305473770779186,-0.0821781110356069,0.019800661706336174,,,0.15176444224282326,1.2730835206352278,0.19422835999184218,,0.007285628169367089,-1.242818381084528,0.0005007575095417067,-0.014500116539929492,0.015202833060374028,0.023581629089195696,0.022570506657343472,6.825679680877645,-0.0655865459354148,,,0.2626129263235195,-0.000331410424496693,,,0.026265716953006585,-0.05414524504611562,-0.801250644662197,44250.4,8006.400000000004,36244.0,-0.09123048956309177,-2.0724809236238694e-06,-0.05414524504611564,0.026265716953006585,0.0010947919895218927,0.012242376593474482,,,,,0.0,0.012265766082694363,,,0.025751843336507818,0.07171644595942173,0.5974360418080962,0.11929717078327573,,3.1103386840404537,1.4283953308814814,,0.002754023819980882,,0.018750439738267784,,0.1669447986199655,0.06238132939107527,0.01568560346794423,0.6851974077149433,,7.078913047413341e-05,0.16999999999999998,0.011513963743263106,1.0,0.6041666666666666
2010-09-30,5.112200989213868e-05,8.862511672500837,0.01,0.09111088005338408,0.1068410957770113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.216666666666693,,,0.008301192464102141,,15.809588468012532,0.008761305778673662,0.07123435616138825,-0.08299205479666022,-0.09854351407619567,,0.10394470292041301,,,0.0040059999999999,-0.048870164369429314,0.06699774353249405,-0.057305473770779186,-0.0821781110356069,,,0.15176444224282326,1.2730835206352278,0.19422835999184218,,0.007285628169367089,-1.242818381084528,0.0005007575095417067,-0.014500116539929492,0.015202833060374028,0.023581629089195696,0.022570506657343472,6.825679680877645,-0.0655865459354148,,,0.2626129263235195,-0.000331410424496693,,,0.026265716953006585,-0.05414524504611562,-0.801250644662197,44250.4,8006.400000000004,36244.0,-0.09123048956309177,-2.0724809236238694e-06,-0.05414524504611564,0.026265716953006585,0.0010947919895218927,0.012242376593474482,,,,,0.0,0.012265766082694363,,,0.025751843336507818,0.07171644595942173,0.5974360418080962,0.11929717078327573,,3.1103386840404537,1.4283953308814814,,0.002754023819980882,,0.018750439738267784,,0.1669447986199655,0.06238132939107527,0.01568560346794423,0.6851974077149433,,7.078913047413341e-05,0.19,0.01200391964723175,6.0,0.54
