date,excess_log_return,illiq,turn,log_Mkt-RF,baspread,log_Mkt-RF^2,coskew,rev1,rev2,rev3,rev4,mom1m,chmom,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,log_Mkt-RF_lag4,gammaps,aeavol,cashdebt,chatoia,chinv,ep,lgr,pchquick,sp,stdcf,agr,chcapx,grnoa,pctacc,chatq,chcshoq,ibq_adj,chtx,invest,chinvest,dy,egr,operprof,pchcurrat,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,roaq,roeq,rsup,salecash,chsaleq,O-score,sue,chnanalyst,disp,RF,beta,idiovol,size,mom,max,r_sq,bm,cash,rd_mve,cashpr,depr,gma,lev,quick,acc,stdacc,cfp,oa,ol,noa,cfpq,currat,saleinv,rd_sale,roavol,salerec,tang,chfeps,sfe
2005-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-28,0.4769450591987885,0.006600415580503632,70.34720577918671,0.16711368283849112,4.265316314505586,0.00231164484795612,0.0,8.147732635020374,2.46823110304503,3.9882872236452287,40.6456231443249,9.305020874221565,0.0,-8.420180720189885,1.2580985549484014,2.4631094685728105,4.6197983999484435,2.6490918569762725,0.0,-24.918733480541672,1.3688658161836469,4.156867494656114,0.9896678531640942,-3.019674174819908,7.293713194137145,-3.6690119878680862,168.2507298011238,7.572165369316314,5.675993100869677,225.45786778308326,1.3139229042653968,-1.722854503324183,5.675993100869677,0.718766035508119,4.960070100060368,-363.54962045029544,0.0,-16.93188031500255,0.9669897040018981,-5.443594848786982,28.975928036973137,-6.780195239760111,34.88232676019112,3.5110794292404153,17.827533267560977,33.00732775348127,15.613050819751866,17.187264495441717,-0.5636789544917642,-4.454830033392368,44.051448810352845,711.3758708052808,23.26774957139118,-72.67723556974268,0.10957390413618295,145.9505775530383,16.68006600606151,5.315640301437656,0.0,0.0,145.9505775530383,0.0,49.50046389717549,0.0,95.24163747517865,6.202487321123308,0.0,-948.5476441166064,5.027612163164044,6.930136016213292,716.9429678789762,150.16432452453867,-5.714708387526339,0.029896197026538812,28.785064616577802,124315.00988715347,43767.513246027556,80547.49664112591,28.785064616577802,307.5903990602787,160.20142742211388,0.0,1.8797377831998627,256.83666405549565,0.0,-2.919011551060766,-4.021328717020495
2007-03-30,1.4271500560271386,0.022408543465470568,89.70778251067233,-0.2375954287658968,25.514985312835726,0.004686843197888365,0.0,-5.267425883441955,8.098832672767859,2.4534176066803344,3.9643508595762635,11.563500145468977,0.0,0.38328717529125467,2.0067837521726175,1.2505478688124214,2.448326710542764,4.592071917319312,0.0,204.30442172678343,-0.005507204313591189,4.895786183583971,-1.443260717412079,-7.003669860565241,0.9460252242365056,3.3966604999355696,175.4559570339355,7.164763989236276,-1.8647129008819567,166.61391101179908,-3.829001627502658,-1.2252635360511028,-1.8647129008819567,0.48750926151206775,-3.5479508314198287,-140.82893507671508,0.0,-31.874921574278527,1.16235654631306,-22.885584250389744,29.689782509348465,-1.2729437828170123,-30.31924549057567,-0.3767546466908011,30.882148665833018,30.95919778349874,-27.94004285209907,32.57702621209094,-1.3924189914054639,-11.875356650651973,45.23593091247726,742.9630115030383,23.33193106033203,-125.17241309254837,-0.02460881890569649,-290.14926214326624,145.07463107163312,-0.7386569360818429,0.0,0.0,-0.8759464814051796,0.0,-0.29708520449600684,0.0,-23.17881277962273,0.6976073587568239,1.886676116104476,215.42119695392023,-1.0745920243691596,1.2313249156633246,-68.68023409151328,2.5934896884844534,-4.75884431863851,0.00036888347224493453,16.214621634404626,-2979.6660709270363,-383.0898986867469,-2596.576172240282,16.214621634404626,-4.5287797074229275,34.796424302141304,1.5599130987020047,-0.11181898049975825,55.96227487211638,0.0,15.975728347507747,1.434405909038455
2007-04-30,10.818132855162478,0.570107909998846,901.0184322459701,0.7806664486268395,130.19674718072758,0.005260791845275286,0.0,30.6957427377093,-5.30348616413273,8.154276486484473,2.4702134628549204,27.107803393061623,0.0,6.417039698522897,-30.07507218098274,2.0205219968086756,1.259108996802543,2.4650877149419754,0.0,917.4201873789642,497.4282734603218,-12.78526261581647,-3.4776378526252354,450.12849079957203,-57.03292961115652,-38.80775683701933,604.7945922504089,85.91835471992138,-18.99886216234957,1396.1699428713,17.57575117200208,24.379148798797445,-18.99886216234959,-1.722116886866233,-51.22532551597365,610.2783798199537,23.927180557641975,-8.80032514677346,8.267587213906523,-287.7397486531599,126.55884463844345,-1.303148103243231,-59.17772014502496,5.894462669954427,-35.88267432096981,76.57652656176109,-130.51212612941094,-25.882180362138634,13.144488984317391,-28.22149224273984,65.21264912618602,27951.658104211125,-46.404575618322546,-2502.380196503469,1.0917291144167112,-1460.8658655458394,288.37401071889,45.23666682883788,0.0,0.0,1379.5549262439758,0.0,0.33684150206458696,0.0,622.4740810885583,178.38660899673414,30.774695351721213,56412.95250884751,50.68903612110828,104.76951475927291,1283.9462790705898,2584.3064099197104,209.37801335757763,4.391471376982862,-68.4682967342188,4108677.203945348,1305720.3145380844,2802956.8894072645,-68.4682967342188,3418.2031357891988,3509.8789843391332,82.96602513783674,19.53944144436811,2674.1141994330037,151.1853800870386,-249.08875350156018,8.582469906112554
2007-05-31,7.217697997908481,0.9331154154521533,1548.3885045315071,3.977685803021151,197.84065396980571,0.1358276664245481,0.0,73.83862502767512,30.278935523999642,-5.416188203697742,8.327559410727588,61.923640896539666,0.0,-2.5724841092385713,10.366868282124972,-30.34620031758018,2.063459216399508,1.2858657653850643,0.0,3104.434257056709,479.26180693411436,-31.609937639266708,2.5652441535667343,464.1031741824479,-37.195630491475946,-42.284023445332174,512.4216904915454,86.70465556907301,-1.0186443330095485,430.74786484400033,29.214391729028854,24.555477345763297,-1.018644333009592,-0.6153697649459204,-25.848853277875882,-528.7273624865144,22.149679331526112,-26.99353159579255,5.979472047298019,-309.1320074668638,245.96358208498395,-1.763389593044284,-41.41673536824494,25.987280162643835,-148.37426321127623,-10.508432314058414,-133.32501589794376,-142.73602851777642,14.935232548739105,-109.4414669464624,66.98387383808472,23210.955681363725,-113.54157258782584,-1807.659569315006,1.055901283466294,-1738.7776702323577,91.75793361346163,1.4400692885872957,0.0,0.0,13.7446044481228,0.0,3.381666148418496,0.0,-1.0100082324647701,4.214255506888918,2.9201808954483397,1187.3040781414747,-0.5162080699190241,-2.3605949895648024,-269.2699857452001,81.39626794960805,-0.978396407893058,0.15409247474118448,-49.1872733497367,70608.69411386456,-2322.86722041131,72931.56133427424,-49.1872733497367,107.55942012280502,-86.41146012216996,6.8552666487656495,-0.09342842583695088,-55.40244678424642,146.81589961186745,2.1230049851245383,-0.0962192257270571
