date,excess_log_return,baspread,log_Mkt-RF^2,coskew,rev3,mom1m,log_Mkt-RF_lag2,aeavol,ep,sp,agr,chcapx,grnoa,ibq_adj,chinvest,pchcurrat,pchsale_pchxsga,pchsaleinv,rsup,salecash,chsaleq,sue,disp,max,lev,stdacc,ol,saleinv,roavol,chfeps,sfe,first_lag_excess_return
2005-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-28,0.4769450591987885,4.265316314505586,0.0023116448479561,0.0,3.9882872236452287,9.305020874221563,2.4631094685728105,-24.918733480541672,-3.019674174819908,168.2507298011238,5.675993100869677,225.4578677830833,1.3139229042653968,4.960070100060368,-16.93188031500255,-6.780195239760111,15.613050819751866,17.187264495441717,44.051448810352845,711.3758708052808,23.26774957139118,0.1095739041361829,16.68006600606151,49.50046389717549,716.9429678789762,0.0298961970265388,43767.51324602756,160.20142742211388,1.8797377831998627,-2.919011551060766,-4.021328717020495,0.0
2007-03-30,1.4271500560271386,25.514985312835726,0.0046868431978883,0.0,2.4534176066803344,11.563500145468977,1.2505478688124214,204.30442172678343,-7.003669860565241,175.4559570339355,-1.8647129008819567,166.61391101179908,-3.829001627502658,-3.5479508314198287,-31.874921574278527,-1.2729437828170125,-27.94004285209907,32.57702621209094,45.23593091247726,742.9630115030383,23.33193106033203,-0.0246088189056964,145.07463107163312,-0.2970852044960068,-68.68023409151328,0.0003688834722449,-383.0898986867469,34.796424302141304,-0.1118189804997582,15.975728347507747,1.434405909038455,0.4769450591987885
2007-04-30,10.818132855162478,130.19674718072758,0.0052607918452752,0.0,8.154276486484473,27.107803393061623,2.020521996808676,917.4201873789642,450.128490799572,604.7945922504089,-18.99886216234957,1396.1699428713,17.57575117200208,-51.22532551597365,-8.80032514677346,-1.303148103243231,-130.51212612941094,-25.882180362138637,65.21264912618602,27951.658104211125,-46.40457561832255,1.0917291144167112,288.37401071889,0.3368415020645869,1283.9462790705898,4.391471376982862,1305720.3145380844,3509.878984339133,19.53944144436811,-249.08875350156015,8.582469906112554,1.4271500560271386
2007-05-31,7.217697997908481,197.8406539698057,0.1358276664245481,0.0,-5.416188203697742,61.92364089653967,-30.34620031758018,3104.434257056709,464.1031741824479,512.4216904915454,-1.0186443330095485,430.74786484400033,29.21439172902885,-25.84885327787588,-26.99353159579255,-1.763389593044284,-133.32501589794376,-142.73602851777642,66.98387383808472,23210.955681363725,-113.54157258782584,1.055901283466294,91.75793361346165,3.381666148418496,-269.2699857452001,0.1540924747411844,-2322.86722041131,-86.41146012216996,-0.0934284258369508,2.1230049851245383,-0.0962192257270571,10.818132855162478
2007-06-29,-0.1179545148182599,135.40635555790467,0.1183749194511348,0.0,30.82158159765246,369.97638448707465,10.52354872902821,3056.984715197871,13.068593924697163,478.9259773948424,-18.125858938463583,-42.79708232652583,50.17302148391731,-1555.7844040172863,-64.39158278821232,212.29184352648517,-12.552952373879414,-177.771917155811,52.87022569221688,28178.433545566717,-99.11697463754771,1.368424414645171,217.1803337631341,-17.160883242162207,-59.42567786911786,-0.2639216405031188,-17270.01101176231,-216.2427664837064,-0.1447496461594397,407.4534434862466,8.08317694963688,7.217697997908481
2007-07-31,-3.0713234733939503,86.14194511860347,0.0458800135992688,0.0,76.94932088674435,352.67034923021725,53.855324027512005,3035.957130166412,12.909932022627297,477.6385036945491,-14.388135805914075,-402.9106306679605,75.60733183614643,-1586.4349324573354,-67.10686111332274,259.9127752686364,-8.252285040120956,-191.4762004141208,50.66520694538045,32338.1405944705,-99.16619242248235,1.4114492607524964,194.58769115051768,4.4269318782027085,22.567878679653177,-0.0654943404757899,22685.947452303488,-39.949923123378085,0.0890379501558058,3.950807946421577,0.2059937822890578,-0.1179545148182599
2007-08-31,-8.407269502654227,450.50288269700224,0.1691265365463618,0.0,149.61469609365227,249.07392644592676,50.10064617199441,2679.3098993485078,21.17293954860752,427.2890828907462,10.822842386887668,-371.837946479395,40.9924283284485,-1548.973732932806,-74.44919524728198,137.37754351683623,139.87066365381713,106.05566341772236,37.023045601820414,26471.143827751966,94.18863899985269,1.4518632663348958,175.6027749850905,-0.2445309054953881,-378.59722849483023,-0.0286429236250578,19925.63952857396,341.8110007940636,-0.5279786240974431,29.81101515118175,1.249884251263966,-3.0713234733939503
2007-09-28,-1.756276700501493,164.47715088315448,0.0097845228870558,0.0,117.5816775535209,-8.224812790492443,-31.08743333373826,2485.591919764483,14.35114812263571,424.9868845185492,31.54143524216309,-523.6769712092007,20.185228245992416,13.13150899646601,-92.35620232820992,-1.3526110694259934,133.68297010015468,258.0555839430294,36.55017919613636,26321.71005660566,166.24086655346392,-5.081819559866507,126.74316365037072,-0.4916851238276507,-29.560338732715763,-0.0618608554790824,-2238.0866384920664,122.21565160334784,0.2585789215114431,-130.23711538976175,0.8338296370159632,-8.407269502654227
