date,excess_log_return,illiq,log_Mkt-RF,log_Mkt-RF^2,rev2,rev4,mom1m,log_Mkt-RF_lag2,log_Mkt-RF_lag3,log_Mkt-RF_lag4,aeavol,rd_mve,pchquick,grnoa,chtx,invest,dy,egr,operprof,pchcurrat,pchsale_pchxsga,roeq,rsup,salerec,chsaleq,sfe,RF,baspread,cash,ol,sue,first_lag_excess_return
2005-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-28,1.197721764945171,0.0335788540669106,0.166128331713667,0.0022980147141906,25.87140585240092,-23.44088543757443,37.66231947415429,2.434148674794963,4.565479649416556,2.6179443160539773,29.831880265485548,3.9913538367553727,-12.033958195116387,-13.511401851628133,96.15634477995482,0.0,0.0,-11.875175317758496,-16.84290763584825,-9.632126247521033,17.05193943615758,-17.353747471836623,0.0882067146244209,203.7991077619506,8.576302860192497,-2.1280502533268635,5.284297732348063,11.685179260720544,57.31486560775632,505.6862171977823,0.0137822991600669,0.0
2007-03-30,0.3345328381954068,0.0325251505317062,-0.236883143673285,0.0046727925549168,0.2367855362816338,26.009131074603776,26.575277025601668,1.243061096623627,2.4336690834477044,4.564580129778081,29.826002600001956,3.990567435010986,-12.03158718866004,-13.508739749890276,96.13739944953274,0.0,0.0,-11.8728355957076,-16.83958913979726,-9.63022846516622,17.04857975534094,-17.350328326894417,0.0881893355803461,203.75895397443807,8.574613102830586,-2.1276309714240798,-0.7210356622091156,-8.764172245695676,-0.0112925368525722,-0.0996334926897475,-2.7154756366953164e-06,1.197721764945171
2007-04-30,2.7859723737817474,0.2278841616192576,1.293188093303631,0.0087145968519914,-14.707679871202185,26.314228651714288,5.438901412730299,2.029312458011553,1.2645868628213583,2.4758122989623987,1987.2968311783889,49.43120730177263,185.1344387938478,-123.32526530610286,344.9571517782763,2.728406598626464,18.558982065707728,-1257.4701493014527,167.07559034142585,104.41028811535382,151.66866332044674,-336.3389571069258,60.3591555221497,4477.763240134477,86.61956508335966,13.020086233030492,77.9539505351072,216.1893520561841,396.5291747816976,4336151.845243501,0.6903310351866978,0.3345328381954068
2007-05-31,13.23621969879997,0.1761015102259784,6.576792552282993,0.2245804292175252,-27.730237505416525,0.2421666701493281,-20.733273577897783,-53.22284891714682,2.0401022276892182,1.2713106184132463,2917.6711544407435,45.18692447690585,302.5725738736371,-11.009565715886168,959.7416206513471,0.0902064968132718,10.83293819847484,-142.35664974143046,24.02005671682561,335.89870608121106,29.80905984422541,93.77548161321388,65.47102841211098,4346.962840250624,-165.0897358274416,14.47684661847546,2.226806219752873,263.43309887896754,18.045504139073444,-78943.65870190412,-0.0851401474815488,2.7859723737817474
2007-06-29,1.1433685322409382,0.156960341694177,6.125637837748349,0.1944868751009972,128.268715615515,-14.360389048098726,367.9387323097655,18.25047082975305,-53.42331248143501,1.9813945266961688,5289.036777395734,15.341822715832471,474.862423309464,61.92897212567406,-846.2947421067713,12.879675710695828,6.238944468971366,-77.76796163178838,24.113917909080467,529.8752663398733,-123.83847059461336,100.2708596115984,19.46182509250177,4237.471085997218,-177.19283353061937,23.807720182769632,-5.640429192515299,83.77061421650785,-4.524895592025473,24988.894826027565,-0.5034380325044535,13.23621969879997
